Figure Type: line chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"line chart","closed-ended infinite answer set visual","0.44","0.5","0.42","0.44","0.5","0.42","0.94","0.94","0.93"
"line chart","closed-ended infinite answer set non-visual","0.59","0.63","0.58","0.59","0.63","0.58","0.95","0.95","0.94"
"line chart","closed-ended finite answer set binary visual","0.72","0.72","0.72","0.72","0.72","0.72","1.0","1.0","1.0"
"line chart","closed-ended finite answer set binary non-visual","0.72","0.72","0.72","0.72","0.72","0.72","1.0","1.0","1.0"
"line chart","closed-ended finite answer set non-binary visual","0.74","0.74","0.75","0.74","0.74","0.75","0.99","0.99","0.99"
"line chart","closed-ended finite answer set non-binary non-visual","0.66","0.67","0.69","0.66","0.67","0.69","0.98","0.97","0.98"
"line chart","unanswerable","0.33","0.21","0.73","0.32","0.21","0.71","0.89","0.85","0.93"


Figure Type: Line Chart,Table
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Line Chart,Table","closed-ended infinite answer set visual","0.5","0.5","0.5","0.5","0.5","0.5","0.94","0.94","0.94"
"Line Chart,Table","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","unanswerable","0.07","0.05","0.14","0.07","0.05","0.14","0.83","0.81","0.86"


Figure Type: tree
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"tree","closed-ended infinite answer set visual","0.44","0.48","0.45","0.44","0.48","0.45","0.94","0.94","0.94"
"tree","closed-ended infinite answer set non-visual","0.73","0.73","0.72","0.73","0.73","0.72","0.96","0.97","0.96"
"tree","closed-ended finite answer set binary visual","0.64","0.64","0.64","0.64","0.64","0.64","1.0","1.0","1.0"
"tree","closed-ended finite answer set binary non-visual","0.64","0.64","0.64","0.64","0.64","0.64","1.0","1.0","1.0"
"tree","closed-ended finite answer set non-binary visual","0.43","0.43","0.46","0.43","0.43","0.46","0.94","0.93","0.95"
"tree","closed-ended finite answer set non-binary non-visual","0.82","0.82","0.86","0.82","0.82","0.86","0.95","0.95","0.95"
"tree","unanswerable","0.32","0.2","0.77","0.31","0.2","0.75","0.89","0.85","0.93"


Figure Type: scatter plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"scatter plot","closed-ended infinite answer set visual","0.48","0.5","0.46","0.48","0.5","0.46","0.93","0.94","0.94"
"scatter plot","closed-ended infinite answer set non-visual","0.81","0.83","0.8","0.81","0.83","0.8","0.99","0.99","0.99"
"scatter plot","closed-ended finite answer set binary visual","0.44","0.44","0.44","0.44","0.44","0.44","1.0","1.0","1.0"
"scatter plot","closed-ended finite answer set binary non-visual","0.67","0.67","0.67","0.67","0.67","0.67","1.0","1.0","1.0"
"scatter plot","closed-ended finite answer set non-binary visual","0.81","0.83","0.83","0.81","0.83","0.83","0.97","0.98","0.97"
"scatter plot","closed-ended finite answer set non-binary non-visual","0.63","0.67","0.61","0.63","0.67","0.61","0.99","0.99","0.98"
"scatter plot","unanswerable","0.36","0.23","0.86","0.35","0.22","0.83","0.9","0.86","0.95"


Figure Type: pie chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"pie chart","closed-ended infinite answer set visual","0.71","0.71","0.71","0.71","0.71","0.71","0.98","0.98","0.98"
"pie chart","closed-ended infinite answer set non-visual","0.81","0.86","0.79","0.81","0.86","0.79","0.97","0.98","0.97"
"pie chart","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"pie chart","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"pie chart","closed-ended finite answer set non-binary visual","0.95","0.93","1.0","0.95","0.93","1.0","0.99","0.98","0.99"
"pie chart","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"pie chart","unanswerable","0.42","0.27","1.0","0.42","0.27","1.0","0.92","0.88","0.97"


Figure Type: architecture diagram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"architecture diagram","closed-ended infinite answer set visual","0.71","0.71","0.7","0.67","0.68","0.67","1.0","1.0","1.0"
"architecture diagram","closed-ended infinite answer set non-visual","0.91","1.0","0.89","0.91","1.0","0.89","0.98","0.99","0.98"
"architecture diagram","closed-ended finite answer set binary visual","0.71","0.71","0.71","0.71","0.71","0.71","1.0","1.0","1.0"
"architecture diagram","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"architecture diagram","closed-ended finite answer set non-binary visual","0.81","0.86","0.79","0.81","0.86","0.79","0.96","0.96","0.96"
"architecture diagram","closed-ended finite answer set non-binary non-visual","0.72","0.75","0.79","0.72","0.75","0.79","0.94","0.95","0.94"
"architecture diagram","unanswerable","0.45","0.29","1.0","0.45","0.29","1.0","0.92","0.87","0.98"


Figure Type: box plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"box plot","closed-ended infinite answer set visual","0.5","0.5","0.5","0.5","0.5","0.5","1.0","1.0","1.0"
"box plot","closed-ended infinite answer set non-visual","0.5","0.5","0.5","0.5","0.5","0.5","0.93","0.94","0.92"
"box plot","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"box plot","closed-ended finite answer set binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"box plot","closed-ended finite answer set non-binary visual","0.83","0.75","1.0","0.83","0.75","1.0","0.89","0.87","0.91"
"box plot","closed-ended finite answer set non-binary non-visual","0.75","0.67","1.0","0.75","0.67","1.0","0.92","0.89","0.95"
"box plot","unanswerable","0.39","0.24","1.0","0.39","0.24","1.0","0.91","0.85","0.97"


Figure Type: neural networks
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"neural networks","closed-ended infinite answer set visual","0.57","0.57","0.57","0.57","0.57","0.57","1.0","1.0","1.0"
"neural networks","closed-ended infinite answer set non-visual","0.71","0.71","0.71","0.71","0.71","0.71","0.98","0.98","0.97"
"neural networks","closed-ended finite answer set binary visual","0.14","0.14","0.14","0.14","0.14","0.14","1.0","1.0","1.0"
"neural networks","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"neural networks","closed-ended finite answer set non-binary visual","0.43","0.43","0.43","0.43","0.43","0.43","1.0","1.0","1.0"
"neural networks","closed-ended finite answer set non-binary non-visual","0.95","0.95","0.95","0.95","0.95","0.95","0.99","0.99","0.99"
"neural networks","unanswerable","0.4","0.26","0.98","0.4","0.25","0.96","0.91","0.86","0.97"


Figure Type: confusion matrix
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"confusion matrix","closed-ended infinite answer set visual","0.47","0.5","0.44","0.47","0.5","0.44","0.93","0.93","0.93"
"confusion matrix","closed-ended infinite answer set non-visual","0.71","0.72","0.71","0.71","0.72","0.71","0.98","0.99","0.98"
"confusion matrix","closed-ended finite answer set binary visual","0.67","0.67","0.67","0.67","0.67","0.67","1.0","1.0","1.0"
"confusion matrix","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"confusion matrix","closed-ended finite answer set non-binary visual","0.56","0.5","0.67","0.56","0.5","0.67","0.93","0.92","0.94"
"confusion matrix","closed-ended finite answer set non-binary non-visual","0.81","0.83","0.83","0.81","0.83","0.83","0.91","0.91","0.92"
"confusion matrix","unanswerable","0.37","0.24","0.87","0.37","0.23","0.86","0.91","0.86","0.96"


Figure Type: graph
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"graph","closed-ended infinite answer set visual","0.48","0.5","0.47","0.41","0.42","0.4","0.91","0.92","0.9"
"graph","closed-ended infinite answer set non-visual","0.48","0.67","0.43","0.48","0.67","0.43","0.95","0.95","0.95"
"graph","closed-ended finite answer set binary visual","0.67","0.67","0.67","0.67","0.67","0.67","1.0","1.0","1.0"
"graph","closed-ended finite answer set binary non-visual","0.83","0.83","0.83","0.83","0.83","0.83","1.0","1.0","1.0"
"graph","closed-ended finite answer set non-binary visual","0.5","0.44","0.58","0.5","0.44","0.58","0.92","0.91","0.94"
"graph","closed-ended finite answer set non-binary non-visual","0.68","0.72","0.67","0.68","0.72","0.67","0.93","0.93","0.93"
"graph","unanswerable","0.37","0.23","0.9","0.36","0.22","0.88","0.9","0.86","0.96"


Figure Type: bar chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"bar chart","closed-ended infinite answer set visual","0.85","0.93","0.88","0.85","0.93","0.88","0.96","0.96","0.96"
"bar chart","closed-ended infinite answer set non-visual","0.5","0.57","0.48","0.5","0.57","0.48","0.95","0.95","0.94"
"bar chart","closed-ended finite answer set binary visual","0.29","0.29","0.29","0.29","0.29","0.29","1.0","1.0","1.0"
"bar chart","closed-ended finite answer set binary non-visual","0.86","0.86","0.86","0.86","0.86","0.86","1.0","1.0","1.0"
"bar chart","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","0.98","0.97","0.98"
"bar chart","closed-ended finite answer set non-binary non-visual","0.79","0.86","0.76","0.79","0.86","0.76","0.98","0.98","0.97"
"bar chart","unanswerable","0.45","0.3","0.91","0.44","0.3","0.89","0.92","0.88","0.96"


Figure Type: Histogram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Histogram","closed-ended infinite answer set visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Histogram","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Histogram","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Histogram","closed-ended finite answer set binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Histogram","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Histogram","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Histogram","unanswerable","0.39","0.25","1.0","0.39","0.25","1.0","0.91","0.86","0.97"


Figure Type: venn diagram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"venn diagram","closed-ended infinite answer set visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"venn diagram","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"venn diagram","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"venn diagram","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"venn diagram","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"venn diagram","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"venn diagram","unanswerable","0.44","0.28","1.0","0.44","0.28","1.0","0.93","0.89","0.97"


Figure Type: Neural Networks
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Neural Networks","closed-ended infinite answer set visual","1.0","1.0","1.0","1.0","1.0","1.0","0.96","0.96","0.96"
"Neural Networks","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Neural Networks","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Neural Networks","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Neural Networks","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Neural Networks","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Neural Networks","unanswerable","0.41","0.26","1.0","0.41","0.26","1.0","0.9","0.85","0.96"


Figure Type: Architecture Diagram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Architecture Diagram","closed-ended infinite answer set visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Architecture Diagram","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Architecture Diagram","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Architecture Diagram","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Architecture Diagram","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Architecture Diagram","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Architecture Diagram","unanswerable","0.4","0.25","1.0","0.4","0.25","1.0","0.91","0.86","0.97"


Figure Type: Vector plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Vector plot","closed-ended infinite answer set visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Vector plot","closed-ended infinite answer set non-visual","0.67","1.0","0.5","0.67","1.0","0.5","0.85","0.86","0.84"
"Vector plot","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Vector plot","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Vector plot","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Vector plot","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Vector plot","unanswerable","0.42","0.27","1.0","0.42","0.27","1.0","0.92","0.87","0.98"


Figure Type: histogram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"histogram","closed-ended infinite answer set visual","0.33","0.5","0.25","0.33","0.5","0.25","0.93","0.94","0.91"
"histogram","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","0.99","0.99","0.99"
"histogram","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"histogram","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"histogram","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"histogram","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"histogram","unanswerable","0.12","0.07","0.29","0.09","0.05","0.21","0.86","0.83","0.88"


Figure Type: Scatter Plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Scatter Plot","closed-ended infinite answer set visual","1.0","1.0","1.0","1.0","1.0","1.0","0.91","0.94","0.89"
"Scatter Plot","closed-ended infinite answer set non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.85","0.91","0.8"
"Scatter Plot","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Scatter Plot","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Scatter Plot","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Scatter Plot","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Scatter Plot","unanswerable","0.44","0.29","1.0","0.44","0.29","1.0","0.92","0.88","0.95"


Figure Type: Other
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Other","closed-ended infinite answer set visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Other","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Other","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Other","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Other","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Other","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Other","unanswerable","0.03","0.02","0.07","0.03","0.02","0.07","0.81","0.78","0.84"


Figure Type: Graph
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Graph","closed-ended infinite answer set visual","0.75","0.75","0.75","0.75","0.75","0.75","0.97","0.97","0.97"
"Graph","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Graph","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Graph","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Graph","closed-ended finite answer set non-binary visual","0.5","0.5","0.5","0.5","0.5","0.5","1.0","1.0","1.0"
"Graph","closed-ended finite answer set non-binary non-visual","0.7","0.62","1.0","0.7","0.62","1.0","0.9","0.87","0.94"
"Graph","unanswerable","0.39","0.24","1.0","0.39","0.24","1.0","0.91","0.86","0.97"


Figure Type: Line Chart,Bar Chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Line Chart,Bar Chart","closed-ended infinite answer set visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Bar Chart","closed-ended infinite answer set non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.98","0.98","0.98"
"Line Chart,Bar Chart","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Line Chart,Bar Chart","closed-ended finite answer set binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Line Chart,Bar Chart","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Bar Chart","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Bar Chart","unanswerable","0.07","0.04","0.14","0.07","0.04","0.14","0.84","0.83","0.86"


Figure Type: Flow chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Flow chart","closed-ended infinite answer set visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Flow chart","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Flow chart","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Flow chart","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Flow chart","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Flow chart","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.77","0.74","0.8"
"Flow chart","unanswerable","0.41","0.25","1.0","0.41","0.25","1.0","0.92","0.86","0.98"


Figure Type: Tree
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Tree","closed-ended infinite answer set visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Tree","closed-ended infinite answer set non-visual","0.67","1.0","0.5","0.67","1.0","0.5","0.88","0.89","0.88"
"Tree","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Tree","closed-ended finite answer set binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Tree","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Tree","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Tree","unanswerable","0.46","0.3","1.0","0.46","0.3","1.0","0.93","0.89","0.97"


Figure Type: Tree,Graph
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Tree,Graph","closed-ended infinite answer set visual","0.0","0.0","0.0","0.0","0.0","0.0","0.83","0.84","0.82"
"Tree,Graph","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Tree,Graph","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Tree,Graph","closed-ended finite answer set binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"Tree,Graph","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","0.85","0.82","0.88"
"Tree,Graph","closed-ended finite answer set non-binary non-visual","0.86","0.75","1.0","0.86","0.75","1.0","0.96","0.95","0.97"
"Tree,Graph","unanswerable","0.38","0.23","1.0","0.38","0.23","1.0","0.92","0.86","0.97"


Figure Type: Illustrative diagram
QA Type: closed-ended infinite answer set visual
