Figure Type: line chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"line chart","closed-ended infinite answer set visual","0.4","0.37","0.47","0.4","0.37","0.47","0.91","0.91","0.92"
"line chart","closed-ended infinite answer set non-visual","0.57","0.55","0.61","0.56","0.55","0.61","0.93","0.93","0.93"
"line chart","closed-ended finite answer set binary visual","0.74","0.74","0.74","0.74","0.74","0.74","1.0","1.0","1.0"
"line chart","closed-ended finite answer set binary non-visual","0.8","0.8","0.8","0.8","0.8","0.8","1.0","1.0","1.0"
"line chart","closed-ended finite answer set non-binary visual","0.75","0.75","0.77","0.75","0.75","0.77","0.99","0.99","0.99"
"line chart","closed-ended finite answer set non-binary non-visual","0.63","0.63","0.65","0.63","0.63","0.65","0.98","0.97","0.98"
"line chart","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: Line Chart,Table
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Line Chart,Table","closed-ended infinite answer set visual","0.4","0.33","0.5","0.4","0.33","0.5","0.94","0.93","0.95"
"Line Chart,Table","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: tree
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"tree","closed-ended infinite answer set visual","0.46","0.45","0.49","0.46","0.45","0.49","0.94","0.93","0.94"
"tree","closed-ended infinite answer set non-visual","0.51","0.51","0.51","0.51","0.51","0.51","0.93","0.93","0.92"
"tree","closed-ended finite answer set binary visual","0.64","0.64","0.64","0.64","0.64","0.64","1.0","1.0","1.0"
"tree","closed-ended finite answer set binary non-visual","0.86","0.86","0.86","0.86","0.86","0.86","1.0","1.0","1.0"
"tree","closed-ended finite answer set non-binary visual","0.63","0.62","0.68","0.63","0.62","0.68","0.97","0.97","0.98"
"tree","closed-ended finite answer set non-binary non-visual","0.8","0.82","0.79","0.8","0.82","0.79","0.98","0.98","0.97"
"tree","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: scatter plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"scatter plot","closed-ended infinite answer set visual","0.42","0.43","0.43","0.42","0.43","0.43","0.9","0.91","0.9"
"scatter plot","closed-ended infinite answer set non-visual","0.71","0.7","0.72","0.71","0.7","0.72","0.94","0.94","0.94"
"scatter plot","closed-ended finite answer set binary visual","0.78","0.78","0.78","0.78","0.78","0.78","1.0","1.0","1.0"
"scatter plot","closed-ended finite answer set binary non-visual","0.78","0.78","0.78","0.78","0.78","0.78","1.0","1.0","1.0"
"scatter plot","closed-ended finite answer set non-binary visual","0.81","0.83","0.83","0.81","0.83","0.83","0.97","0.98","0.98"
"scatter plot","closed-ended finite answer set non-binary non-visual","0.85","0.89","0.83","0.85","0.89","0.83","0.99","0.99","0.98"
"scatter plot","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: pie chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"pie chart","closed-ended infinite answer set visual","0.81","0.79","0.86","0.81","0.79","0.86","0.98","0.98","0.99"
"pie chart","closed-ended infinite answer set non-visual","0.71","0.71","0.71","0.71","0.71","0.71","0.97","0.97","0.97"
"pie chart","closed-ended finite answer set binary visual","0.57","0.57","0.57","0.57","0.57","0.57","1.0","1.0","1.0"
"pie chart","closed-ended finite answer set binary non-visual","0.86","0.86","0.86","0.86","0.86","0.86","1.0","1.0","1.0"
"pie chart","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"pie chart","closed-ended finite answer set non-binary non-visual","0.71","0.71","0.71","0.71","0.71","0.71","0.98","0.97","0.98"
"pie chart","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: architecture diagram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"architecture diagram","closed-ended infinite answer set visual","0.85","0.86","0.84","0.82","0.82","0.81","1.0","1.0","1.0"
"architecture diagram","closed-ended infinite answer set non-visual","0.95","0.92","1.0","0.95","0.92","1.0","0.99","0.99","0.99"
"architecture diagram","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"architecture diagram","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"architecture diagram","closed-ended finite answer set non-binary visual","0.86","0.86","0.86","0.86","0.86","0.86","0.98","0.97","0.98"
"architecture diagram","closed-ended finite answer set non-binary non-visual","0.69","0.71","0.68","0.69","0.71","0.68","0.98","0.98","0.97"
"architecture diagram","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: box plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"box plot","closed-ended infinite answer set visual","0.73","0.58","1.0","0.73","0.58","1.0","0.93","0.92","0.95"
"box plot","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","0.98","0.98","0.98"
"box plot","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"box plot","closed-ended finite answer set binary non-visual","0.5","0.5","0.5","0.5","0.5","0.5","1.0","1.0","1.0"
"box plot","closed-ended finite answer set non-binary visual","0.33","0.25","0.5","0.33","0.25","0.5","0.94","0.92","0.97"
"box plot","closed-ended finite answer set non-binary non-visual","0.5","0.5","0.5","0.5","0.5","0.5","1.0","1.0","1.0"
"box plot","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: neural networks
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"neural networks","closed-ended infinite answer set visual","0.71","0.71","0.71","0.71","0.71","0.71","1.0","1.0","1.0"
"neural networks","closed-ended infinite answer set non-visual","0.57","0.57","0.57","0.57","0.57","0.57","0.96","0.96","0.96"
"neural networks","closed-ended finite answer set binary visual","0.71","0.71","0.71","0.71","0.71","0.71","1.0","1.0","1.0"
"neural networks","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"neural networks","closed-ended finite answer set non-binary visual","0.43","0.43","0.43","0.43","0.43","0.43","1.0","1.0","1.0"
"neural networks","closed-ended finite answer set non-binary non-visual","0.98","0.96","1.0","0.98","0.96","1.0","0.98","0.98","0.98"
"neural networks","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: confusion matrix
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"confusion matrix","closed-ended infinite answer set visual","0.63","0.67","0.61","0.63","0.67","0.61","0.92","0.93","0.92"
"confusion matrix","closed-ended infinite answer set non-visual","0.76","0.78","0.75","0.71","0.72","0.71","0.98","0.98","0.98"
"confusion matrix","closed-ended finite answer set binary visual","0.5","0.5","0.5","0.5","0.5","0.5","1.0","1.0","1.0"
"confusion matrix","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"confusion matrix","closed-ended finite answer set non-binary visual","0.63","0.61","0.67","0.63","0.61","0.67","0.97","0.96","0.97"
"confusion matrix","closed-ended finite answer set non-binary non-visual","0.69","0.69","0.72","0.69","0.69","0.72","0.94","0.94","0.94"
"confusion matrix","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: graph
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"graph","closed-ended infinite answer set visual","0.5","0.5","0.5","0.5","0.5","0.5","0.93","0.94","0.92"
"graph","closed-ended infinite answer set non-visual","0.33","0.33","0.33","0.33","0.33","0.33","0.95","0.94","0.95"
"graph","closed-ended finite answer set binary visual","0.83","0.83","0.83","0.83","0.83","0.83","1.0","1.0","1.0"
"graph","closed-ended finite answer set binary non-visual","0.83","0.83","0.83","0.83","0.83","0.83","1.0","1.0","1.0"
"graph","closed-ended finite answer set non-binary visual","0.47","0.44","0.5","0.47","0.44","0.5","0.98","0.98","0.98"
"graph","closed-ended finite answer set non-binary non-visual","0.53","0.58","0.54","0.53","0.58","0.54","0.91","0.92","0.91"
"graph","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: bar chart
QA Type: closed-ended infinite answer set visual
