Figure Type: line chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"line chart","closed-ended infinite answer set visual","0.53","0.58","0.53","0.53","0.58","0.53","0.95","0.96","0.95"
"line chart","closed-ended infinite answer set non-visual","0.7","0.72","0.71","0.7","0.71","0.7","0.96","0.96","0.96"
"line chart","closed-ended finite answer set binary visual","0.85","0.85","0.85","0.85","0.85","0.85","1.0","1.0","1.0"
"line chart","closed-ended finite answer set binary non-visual","0.88","0.88","0.88","0.88","0.88","0.88","1.0","1.0","1.0"
"line chart","closed-ended finite answer set non-binary visual","0.85","0.87","0.85","0.85","0.87","0.85","0.99","0.99","0.99"
"line chart","closed-ended finite answer set non-binary non-visual","0.75","0.76","0.75","0.75","0.76","0.75","0.99","0.99","0.99"
"line chart","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: Line Chart,Table
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Line Chart,Table","closed-ended infinite answer set visual","0.0","0.0","0.0","0.0","0.0","0.0","0.88","0.87","0.9"
"Line Chart,Table","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","unanswerable","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"


Figure Type: tree
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"tree","closed-ended infinite answer set visual","0.55","0.54","0.56","0.55","0.54","0.56","0.96","0.96","0.96"
"tree","closed-ended infinite answer set non-visual","0.78","0.77","0.78","0.75","0.75","0.76","0.96","0.95","0.96"
"tree","closed-ended finite answer set binary visual","0.79","0.79","0.79","0.79","0.79","0.79","1.0","1.0","1.0"
"tree","closed-ended finite answer set binary non-visual","0.71","0.71","0.71","0.71","0.71","0.71","1.0","1.0","1.0"
"tree","closed-ended finite answer set non-binary visual","0.76","0.79","0.75","0.76","0.79","0.75","0.99","1.0","0.99"
