Figure Type: line chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"line chart","closed-ended infinite answer set visual","0.17","0.13","0.31","0.17","0.13","0.31","0.83","0.79","0.88"
"line chart","closed-ended infinite answer set non-visual","0.25","0.18","0.46","0.25","0.18","0.46","0.83","0.79","0.88"
"line chart","closed-ended finite answer set binary visual","0.23","0.14","0.57","0.23","0.14","0.57","0.82","0.76","0.89"
"line chart","closed-ended finite answer set binary non-visual","0.26","0.16","0.64","0.26","0.16","0.64","0.82","0.76","0.89"
"line chart","closed-ended finite answer set non-binary visual","0.21","0.13","0.5","0.21","0.13","0.5","0.81","0.76","0.88"
"line chart","closed-ended finite answer set non-binary non-visual","0.22","0.15","0.5","0.22","0.15","0.5","0.81","0.76","0.87"
"line chart","unanswerable","0.9","0.82","1.0","0.9","0.82","1.0","0.95","0.91","0.99"


Figure Type: Line Chart,Table
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Line Chart,Table","closed-ended infinite answer set visual","0.29","0.2","0.5","0.29","0.2","0.5","0.86","0.82","0.91"
"Line Chart,Table","closed-ended infinite answer set non-visual","0.29","0.2","0.5","0.29","0.2","0.5","0.87","0.82","0.92"
"Line Chart,Table","closed-ended finite answer set binary visual","0.4","0.25","1.0","0.4","0.25","1.0","0.82","0.76","0.89"
"Line Chart,Table","closed-ended finite answer set binary non-visual","0.4","0.25","1.0","0.4","0.25","1.0","0.82","0.76","0.89"
"Line Chart,Table","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.81","0.76","0.88"
"Line Chart,Table","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.81","0.76","0.88"
"Line Chart,Table","unanswerable","0.9","0.82","1.0","0.9","0.82","1.0","0.95","0.91","0.99"


Figure Type: tree
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"tree","closed-ended infinite answer set visual","0.13","0.09","0.23","0.13","0.09","0.23","0.82","0.78","0.87"
"tree","closed-ended infinite answer set non-visual","0.22","0.15","0.42","0.22","0.15","0.42","0.81","0.77","0.86"
"tree","closed-ended finite answer set binary visual","0.17","0.11","0.43","0.17","0.11","0.43","0.82","0.76","0.89"
"tree","closed-ended finite answer set binary non-visual","0.26","0.16","0.64","0.26","0.16","0.64","0.82","0.76","0.89"
"tree","closed-ended finite answer set non-binary visual","0.27","0.18","0.61","0.27","0.18","0.61","0.82","0.76","0.88"
"tree","closed-ended finite answer set non-binary non-visual","0.33","0.22","0.71","0.33","0.22","0.71","0.82","0.77","0.88"
"tree","unanswerable","0.9","0.82","1.0","0.9","0.82","1.0","0.95","0.91","0.99"


Figure Type: scatter plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"scatter plot","closed-ended infinite answer set visual","0.24","0.16","0.52","0.24","0.16","0.52","0.82","0.78","0.87"
"scatter plot","closed-ended infinite answer set non-visual","0.38","0.26","0.78","0.38","0.26","0.78","0.84","0.79","0.89"
"scatter plot","closed-ended finite answer set binary visual","0.13","0.08","0.33","0.13","0.08","0.33","0.82","0.76","0.89"
"scatter plot","closed-ended finite answer set binary non-visual","0.27","0.17","0.67","0.27","0.17","0.67","0.82","0.76","0.89"
"scatter plot","closed-ended finite answer set non-binary visual","0.36","0.22","0.89","0.36","0.22","0.89","0.81","0.76","0.87"
"scatter plot","closed-ended finite answer set non-binary non-visual","0.21","0.15","0.44","0.19","0.13","0.42","0.82","0.77","0.88"
"scatter plot","unanswerable","0.9","0.82","1.0","0.9","0.82","1.0","0.95","0.91","0.99"


Figure Type: pie chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"pie chart","closed-ended infinite answer set visual","0.42","0.28","0.86","0.42","0.28","0.86","0.86","0.81","0.91"
"pie chart","closed-ended infinite answer set non-visual","0.5","0.34","1.0","0.5","0.34","1.0","0.87","0.82","0.92"
"pie chart","closed-ended finite answer set binary visual","0.17","0.11","0.43","0.17","0.11","0.43","0.82","0.76","0.89"
"pie chart","closed-ended finite answer set binary non-visual","0.17","0.11","0.43","0.17","0.11","0.43","0.82","0.76","0.89"
"pie chart","closed-ended finite answer set non-binary visual","0.29","0.18","0.71","0.29","0.18","0.71","0.81","0.76","0.88"
"pie chart","closed-ended finite answer set non-binary non-visual","0.33","0.21","0.86","0.33","0.21","0.86","0.81","0.76","0.88"
"pie chart","unanswerable","0.9","0.82","1.0","0.9","0.82","1.0","0.95","0.91","0.99"


Figure Type: architecture diagram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"architecture diagram","closed-ended infinite answer set visual","0.16","0.11","0.36","0.16","0.11","0.36","0.82","0.78","0.86"
"architecture diagram","closed-ended infinite answer set non-visual","0.25","0.21","0.4","0.25","0.21","0.4","0.84","0.81","0.87"
"architecture diagram","closed-ended finite answer set binary visual","0.29","0.18","0.71","0.29","0.18","0.71","0.82","0.76","0.89"
"architecture diagram","closed-ended finite answer set binary non-visual","0.4","0.25","1.0","0.4","0.25","1.0","0.82","0.76","0.89"
"architecture diagram","closed-ended finite answer set non-binary visual","0.37","0.24","0.86","0.37","0.24","0.86","0.82","0.77","0.88"
"architecture diagram","closed-ended finite answer set non-binary non-visual","0.3","0.22","0.5","0.3","0.22","0.5","0.83","0.78","0.87"
"architecture diagram","unanswerable","0.9","0.82","1.0","0.9","0.82","1.0","0.95","0.91","0.99"


Figure Type: box plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"box plot","closed-ended infinite answer set visual","0.14","0.1","0.25","0.14","0.1","0.25","0.84","0.79","0.89"
"box plot","closed-ended infinite answer set non-visual","0.55","0.38","1.0","0.55","0.38","1.0","0.87","0.83","0.91"
"box plot","closed-ended finite answer set binary visual","0.4","0.25","1.0","0.4","0.25","1.0","0.82","0.76","0.89"
"box plot","closed-ended finite answer set binary non-visual","0.2","0.12","0.5","0.2","0.12","0.5","0.82","0.76","0.88"
"box plot","closed-ended finite answer set non-binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.82","0.76","0.89"
"box plot","closed-ended finite answer set non-binary non-visual","0.2","0.12","0.5","0.2","0.12","0.5","0.81","0.76","0.88"
